step,altitude,speed,distance,ata,aspect_angle,aileron,elevator,throttle
275,5996.56,355.53,2150.44,168.146,176.299,-0.2,-0.05,0.4517
276,5996.09,355.56,2150.01,168.476,175.635,0.15,-0.3,0.4172
277,5995.26,356.33,2149.71,168.76,174.951,0.15,-0.45,0.5379
278,5994.4,356.3,2149.57,168.992,174.49,-0.3,-0.45,0.4172
279,5994.04,355.68,2149.39,169.281,174.265,-0.3,-0.3,0.4172
280,5994.13,355.43,2149.19,169.632,174.271,0.15,0.8,0.4
281,5994.07,355.8,2149.08,169.924,174.217,0.15,0.8,0.4
282,5993.68,355.91,2149.04,170.208,174.05,0.15,-0.35,0.4
283,5993.32,355.72,2149.06,170.485,173.848,-0.2,-0.05,0.4517
284,5993.45,355.6,2149.12,170.797,173.523,0.15,-0.3,0.4345
285,5993.75,356.09,2149.23,171.07,173.278,0.15,0.8,0.5207
286,5994.16,356.03,2149.41,171.335,173.286,-0.3,-0.05,0.4517
287,5994.72,355.76,2149.65,171.644,173.115,0.15,-0.3,0.4345
288,5995.29,356.12,2149.96,171.915,172.824,0.15,0.8,0.4345
289,5996.11,355.84,2150.31,172.119,172.611,-0.3,-0.05,0.4517
290,5997.28,355.7,2150.72,172.405,172.432,0.15,0.75,0.4345
291,5998.26,356.25,2151.24,172.754,172.245,0.15,0.75,0.4345
292,5998.92,356.17,2151.92,173.044,172.035,-0.35,-0.05,0.4517
293,5999.58,356.17,2152.69,173.364,171.719,0.15,-0.3,0.4345
294,6000.05,356.57,2153.59,173.673,171.392,0.15,0.8,0.4345
295,6000.22,356.56,2154.56,173.975,171.223,-0.3,-0.05,0.4517
296,6000.18,356.15,2155.47,174.268,171.377,0.15,-0.3,0.4345
297,5999.87,356.88,2156.53,174.521,171.511,0.15,-0.65,0.5379
298,5999.64,356.75,2157.76,174.769,171.288,-0.3,-0.05,0.4517
299,5999.68,356.58,2159.07,175.036,170.885,0.15,-0.3,0.4345
300,5999.73,356.97,2160.53,175.266,170.625,0.15,-0.3,0.4345
301,6000.0,356.74,2161.98,175.415,170.677,-0.3,-0.05,0.4517
302,6000.63,356.72,2163.24,175.608,170.574,0.55,-0.3,0.5207
303,6001.38,358.48,2164.51,175.786,170.247,0.55,-0.9,0.8138
304,6002.24,359.5,2166.0,175.763,170.029,0.55,-0.9,0.5207
305,6003.42,360.02,2167.64,175.327,169.911,0.55,-0.9,0.5207
